year,sector,gva,department
1998,"- Silvicultura, Caza y Pesca",38937.29469287992,beni
1998,"- Textiles, Prendas de Vestir y Productos del Cuero",15880.960975050119,beni
1998,- Transporte y Almacenamiento,28065.67214352538,beni
1998,"1. Agricultura, Silvicultura, Caza y Pesca",270474.4223199211,beni
1998,10. Restaurantes y Hoteles,25514.194868532373,beni
1998,11. Servicios de la Administración Pública,72548.24221730286,beni
1998,2. Extracción de Minas y Canteras,19695.049867714137,beni
1998,3. Industrias Manufactureras,132489.16031608515,beni
1998,"4. Electricidad, Gas y Agua",4133.950350192319,beni
1998,5. Construcción,30509.536658769553,beni
1998,6. Comercio,88961.3320784086,beni
1998,"7. Transporte, Almacenamiento y Comunicaciones",51176.99461166498,beni
1998,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",55519.415103146006,beni
1998,"9. Servicios Comunales, Sociales, Personales y Domésticos",29484.20544813389,beni
1998,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",14611.714504094454,beni
1998,PRODUCTO INTERNO BRUTO (a precios básicos),777204.6636647168,beni
1998,PRODUCTO INTERNO BRUTO (a precios de mercado),791816.3781688112,beni
1998,Servicios Bancarios Imputados,-3301.840175154136,beni
1999,- Alimentos,100985.49459952244,beni
1999,- Bebidas y Tabaco,838.1271401432883,beni
1999,- Coca,0.0,beni
1999,- Comunicaciones,23057.046222992765,beni
1999,- Madera y Productos de Madera,7112.485690786154,beni
1999,- Minerales Metálicos y no Metálicos,23067.13191640364,beni
1999,- Otras Industrias Manufactureras,4556.254626174225,beni
1999,- Petróleo Crudo y Gas Natural,0.0,beni
1999,- Productos Agrícolas Industriales,3152.0397778630613,beni
1999,- Productos Agrícolas no Industriales,33312.92035699903,beni
1999,- Productos Pecuarios,219154.91871095775,beni
1999,- Productos de Minerales no Metálicos,8209.333911320846,beni
1999,- Productos de Refinación del Petróleo,0.0,beni
1999,- Propiedad de Vivienda,41430.42422947451,beni
1999,- Servicios Financieros,5931.102225339339,beni
1999,- Servicios a las Empresas,16971.728439839644,beni
1999,"- Silvicultura, Caza y Pesca",40784.39846156205,beni
1999,"- Textiles, Prendas de Vestir y Productos del Cuero",17019.829975493085,beni
1999,- Transporte y Almacenamiento,30565.3830747662,beni
1999,"1. Agricultura, Silvicultura, Caza y Pesca",296404.2773073819,beni
1999,10. Restaurantes y Hoteles,26310.136194251732,beni
1999,11. Servicios de la Administración Pública,73308.48050048735,beni
1999,2. Extracción de Minas y Canteras,23067.13191640364,beni
1999,3. Industrias Manufactureras,138721.52594344004,beni
1999,"4. Electricidad, Gas y Agua",6301.223568478545,beni
1999,5. Construcción,33960.64896148898,beni
1999,6. Comercio,93041.92578345271,beni
1999,"7. Transporte, Almacenamiento y Comunicaciones",53622.429297758965,beni
1999,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",64333.254894653495,beni
1999,"9. Servicios Comunales, Sociales, Personales y Domésticos",30539.197590051604,beni
1999,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",14727.779268511691,beni
1999,PRODUCTO INTERNO BRUTO (a precios básicos),834062.6613359206,beni
1999,PRODUCTO INTERNO BRUTO (a precios de mercado),848790.4406044323,beni
1999,Servicios Bancarios Imputados,-5547.570621928296,beni
2000,- Alimentos,103890.95880909712,beni
2000,- Bebidas y Tabaco,923.0800342755517,beni
2000,- Coca,0.0,beni
2000,- Comunicaciones,15452.357385587826,beni
2000,- Madera y Productos de Madera,7351.1690332987455,beni
2000,- Minerales Metálicos y no Metálicos,23608.70738046324,beni
2000,- Otras Industrias Manufactureras,4619.709355865968,beni
2000,- Petróleo Crudo y Gas Natural,0.0,beni
2000,- Productos Agrícolas Industriales,2891.4252690454227,beni
2000,- Productos Agrícolas no Industriales,34972.972624074675,beni
2000,- Productos Pecuarios,227133.37526855158,beni
2000,- Productos de Minerales no Metálicos,7093.567852443029,beni
2000,- Productos de Refinación del Petróleo,0.0,beni
2000,- Propiedad de Vivienda,42174.3104415025,beni
2000,- Servicios Financieros,14447.940813216877,beni
2000,- Servicios a las Empresas,20992.670191976424,beni
2000,"- Silvicultura, Caza y Pesca",42451.249282721496,beni
2000,"- Textiles, Prendas de Vestir y Productos del Cuero",17341.700096880093,beni
2000,- Transporte y Almacenamiento,24319.522117158587,beni
2000,"1. Agricultura, Silvicultura, Caza y Pesca",307449.0224443932,beni
2000,10. Restaurantes y Hoteles,24778.301634396383,beni
2000,11. Servicios de la Administración Pública,79782.77754137371,beni
2000,2. Extracción de Minas y Canteras,23608.70738046324,beni
2000,3. Industrias Manufactureras,141220.18518186052,beni
2000,"4. Electricidad, Gas y Agua",6993.070186090875,beni
2000,5. Construcción,41630.6026482554,beni
2000,6. Comercio,95634.32532816284,beni
2000,"7. Transporte, Almacenamiento y Comunicaciones",39771.879502746415,beni
2000,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",77614.92144669581,beni
2000,"9. Servicios Comunales, Sociales, Personales y Domésticos",30297.30601488559,beni
2000,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",16089.499697078816,beni
2000,PRODUCTO INTERNO BRUTO (a precios básicos),855518.4197999468,beni
2000,PRODUCTO INTERNO BRUTO (a precios de mercado),871607.9194970257,beni
2000,Servicios Bancarios Imputados,-13262.679509377189,beni
2001,- Alimentos,107159.67555080556,beni
2001,- Bebidas y Tabaco,851.8836939210288,beni
2001,- Coca,0.0,beni
2001,- Comunicaciones,17408.526007868913,beni
2001,- Madera y Productos de Madera,7467.840523156003,beni
2001,- Minerales Metálicos y no Metálicos,23100.581508163465,beni
2001,- Otras Industrias Manufactureras,4770.738821732155,beni
2001,- Petróleo Crudo y Gas Natural,0.0,beni
2001,- Productos Agrícolas Industriales,2949.4585651410625,beni
2001,- Productos Agrícolas no Industriales,35410.808869099965,beni
2001,- Productos Pecuarios,236891.81664265745,beni
2001,- Productos de Minerales no Metálicos,6647.16005357109,beni
2001,- Productos de Refinación del Petróleo,0.0,beni
2001,- Propiedad de Vivienda,43302.527671106815,beni
2001,- Servicios Financieros,10463.951022120984,beni
