date,year,quarter,"AGRICULTURA, SILVICULTURA, CAZA Y PESCA",PETRÓLEO CRUDO Y GAS NATURAL,MINERALES METÁLICOS Y NO METÁLICOS,INDUSTRIA MANUFACTURERA,"ELECTRICIDAD, GAS Y AGUA",CONSTRUCCIÓN,COMERCIO,TRANSPORTE Y COMUNICACIONES,"ESTABLECIMIENTOS FINANCIEROS, SEGUROS, BIENES INMUEBLES Y SERVICIOS A LAS EMPRESAS",SERVICIOS DE LA ADMINISTRACIÓN PÚBLICA,OTROS SERVICIOS,SERVICIOS BANCARIOS IMPUTADOS,PIB A PRECIOS BÁSICOS,"DERECHOS DE IMPORTACIÓN, IVA, IT Y OTROS IMPUESTOS INDIRECTOS",PIB A PRECIOS DE MERCADO
2005-04-01,2005,2,1260823.8325231564,420211.7780474408,239985.31719632974,1107992.8383660365,132617.22333595649,168147.64707497248,582314.9955294185,699167.3011373413,818586.9965988355,564174.2188394904,470743.686113959,-186193.63616264824,6278572.198600289,605573.9246072697,6884146.123207559
2005-07-01,2005,3,788955.1246157606,478088.2720748616,270800.01067042974,1108219.8255402118,121964.36752775795,192730.93055026457,523475.4939189154,785761.6894504866,706502.8657978505,607249.3408675988,476467.1997136459,-205451.60074276064,5854763.519985022,583596.7056885415,6438360.225673564
2005-10-01,2005,4,812077.1879570032,480198.0371608097,298410.7603353581,1105094.1828398025,151612.30966552597,207940.43563144447,535207.3355749522,721920.0124559748,713455.1328014967,672123.2247861958,478071.60511373903,-176975.15700180896,5999135.067320493,713800.7390678908,6712935.806388384
2006-01-01,2006,1,937624.7304910735,441000.23492390546,288446.99234151567,1017962.0559597425,110365.15731264277,110124.58820818826,511442.1841675566,665980.4472974192,722013.9722851124,548502.7709104322,483275.7802869889,-207522.92671704417,5629215.987467534,630184.3840942901,6259400.371561824
2006-04-01,2006,2,1292137.1169728527,421295.4078040054,277633.18734516815,1157572.5767808133,137997.58009971853,165976.8017174609,639667.1698266711,705142.9199253382,867189.8066247039,584242.9481600986,486847.54375985084,-222830.97600818242,6512872.0830085,637416.8282525864,7150288.911261086
2006-07-01,2006,3,843408.7113049681,513215.3829179604,287925.9666949089,1212939.3157279473,126681.37819292443,215520.63081150615,553609.961839602,803504.700192513,755712.3802460309,629171.3983248337,487684.31149864866,-248408.015793491,6180966.121958352,626930.9122443331,6807897.034202685
2006-10-01,2006,4,866640.8560874177,475743.2807657696,258036.93059073715,1257660.5426011418,161411.07259226005,269914.2392903236,509959.37210634747,787976.1208989416,725568.106649091,697482.8826046359,485867.198103381,-185183.2683729695,6311077.333917078,750249.015069529,7061326.348986607
2007-01-01,2007,1,925396.3277620901,433071.28245492256,266315.0749752069,1042058.9701595755,114868.18956195266,115246.9018390375,530246.3078300187,708032.7524710305,768743.6120946206,580507.5253658587,494651.8250621686,-224030.19973506298,5755108.569841419,662193.8526968792,6417302.422538298
2007-04-01,2007,2,1269889.8121023062,461186.94520954037,280466.5582540395,1238620.3570513397,143887.89700203444,180333.79677640245,668780.2823682888,735644.8524830531,908662.9999708002,611038.6505077382,499542.8099831798,-240814.41955083207,6757240.542157889,685453.6307124861,7442694.172870375
2007-07-01,2007,3,866966.144939994,525755.1191087293,306466.87436054635,1301718.5652341228,131524.0151709323,248829.602697644,589995.7795213271,839360.7067500164,805363.5278375361,650462.3559984161,504240.2690995067,-271186.97877060017,6499495.981948171,672131.8609155602,7171627.842863731
