year,department,isic_section,sector_label,value,base_year
1995,beni,,PRODUCTO INTERNO BRUTO (a precios de mercado),693446.1579511076,1990
1995,beni,,Servicios Bancarios Imputados,-109.57653767945936,1990
1996,beni,,- Alimentos,95416.34617103256,1990
1996,beni,,- Bebidas y Tabaco,708.5003358058304,1990
1996,beni,,- Coca,0.0,1990
1996,beni,,- Comunicaciones,8079.981926779628,1990
1996,beni,,- Madera y Productos de Madera,6314.427214095778,1990
1996,beni,,- Minerales Metálicos y no Metálicos,13835.041432292466,1990
1996,beni,,- Otras Industrias Manufactureras,4661.109308341566,1990
1996,beni,,- Petróleo Crudo y Gas Natural,0.0,1990
1996,beni,,- Productos Agrícolas Industriales,2344.0229076209826,1990
1996,beni,,- Productos Agrícolas no Industriales,30548.15044642104,1990
1996,beni,,- Productos Pecuarios,196594.38332352933,1990
1996,beni,,- Productos de Minerales no Metálicos,7000.152928958331,1990
1996,beni,,- Productos de Refinación del Petróleo,0.0,1990
1996,beni,,- Propiedad de Vivienda,38902.64601195434,1990
1996,beni,,- Servicios Financieros,189.2538135098037,1990
1996,beni,,- Servicios a las Empresas,9860.821989380507,1990
1996,beni,,"- Silvicultura, Caza y Pesca",36816.99678956493,1990
1996,beni,,"- Textiles, Prendas de Vestir y Productos del Cuero",14436.832886819357,1990
1996,beni,,- Transporte y Almacenamiento,42093.900883366245,1990
1996,beni,,"1. Agricultura, Silvicultura, Caza y Pesca",266303.5534671363,1990
1996,beni,,10. Restaurantes y Hoteles,24379.91780394363,1990
1996,beni,,11. Servicios de la Administración Pública,53607.84495639046,1990
1996,beni,,2. Extracción de Minas y Canteras,13835.041432292466,1990
1996,beni,,3. Industrias Manufactureras,128537.3688450534,1990
1996,beni,,"4. Electricidad, Gas y Agua",6409.07672495252,1990
1996,beni,,5. Construcción,22306.5698389148,1990
1996,beni,,6. Comercio,59885.64347646442,1990
1996,beni,,"7. Transporte, Almacenamiento y Comunicaciones",50173.88281014587,1990
1996,beni,,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",48952.721814844655,1990
1996,beni,,"9. Servicios Comunales, Sociales, Personales y Domésticos",28294.79461667345,1990
1996,beni,,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",14967.290099406464,1990
1996,beni,,PRODUCTO INTERNO BRUTO (a precios básicos),702534.415786812,1990
1996,beni,,PRODUCTO INTERNO BRUTO (a precios de mercado),717501.7058862185,1990
1996,beni,,Servicios Bancarios Imputados,-152.0,1990
1997,beni,,- Alimentos,98166.12471380916,1990
1997,beni,,- Bebidas y Tabaco,757.5417013614698,1990
1997,beni,,- Coca,0.0,1990
1997,beni,,- Comunicaciones,15132.86289359162,1990
1997,beni,,- Madera y Productos de Madera,6609.271356152116,1990
1997,beni,,- Minerales Metálicos y no Metálicos,16712.6321542509,1990
1997,beni,,- Otras Industrias Manufactureras,4516.4259162703875,1990
1997,beni,,- Petróleo Crudo y Gas Natural,0.0,1990
1997,beni,,- Productos Agrícolas Industriales,3208.0083821778426,1990
1997,beni,,- Productos Agrícolas no Industriales,32008.83418162143,1990
1997,beni,,- Productos Pecuarios,199441.26291151397,1990
1997,beni,,- Productos de Minerales no Metálicos,7093.9711791959135,1990
1997,beni,,- Productos de Refinación del Petróleo,0.0,1990
1997,beni,,- Propiedad de Vivienda,39690.72854950156,1990
1997,beni,,- Servicios Financieros,802.3292877560323,1990
1997,beni,,- Servicios a las Empresas,10750.473270312636,1990
1997,beni,,"- Silvicultura, Caza y Pesca",37822.408139734136,1990
