date,roi,no2_tropos_col_mol_m2,n_valid_days,sensor
2014-12-01,la_paz_el_alto,,9,OMI
2015-01-01,la_paz_el_alto,,10,OMI
2015-02-01,la_paz_el_alto,,12,OMI
2015-03-01,la_paz_el_alto,1.684385657334041e-05,16,OMI
2015-04-01,la_paz_el_alto,,10,OMI
2015-05-01,la_paz_el_alto,1.7497080021836964e-05,19,OMI
2015-06-01,la_paz_el_alto,1.5549806288847364e-05,21,OMI
2015-07-01,la_paz_el_alto,1.2104514158807758e-05,22,OMI
2015-08-01,la_paz_el_alto,1.4562495685440926e-05,19,OMI
2015-09-01,la_paz_el_alto,1.0732088104791998e-05,19,OMI
2015-10-01,la_paz_el_alto,,14,OMI
2015-11-01,la_paz_el_alto,,13,OMI
2015-12-01,la_paz_el_alto,,13,OMI
2016-01-01,la_paz_el_alto,,12,OMI
2016-02-01,la_paz_el_alto,,9,OMI
2016-03-01,la_paz_el_alto,1.1085497874663664e-05,18,OMI
2016-04-01,la_paz_el_alto,9.60009456750766e-06,15,OMI
2016-05-01,la_paz_el_alto,1.4250817420152524e-05,20,OMI
2016-06-01,la_paz_el_alto,,13,OMI
2016-07-01,la_paz_el_alto,1.4466378566863789e-05,23,OMI
2016-08-01,la_paz_el_alto,1.427673967355989e-05,22,OMI
2016-09-01,la_paz_el_alto,1.9781383296661523e-05,18,OMI
2016-10-01,la_paz_el_alto,1.1533009237606197e-05,16,OMI
2016-11-01,la_paz_el_alto,,13,OMI
2016-12-01,la_paz_el_alto,,13,OMI
2017-01-01,la_paz_el_alto,,12,OMI
2017-02-01,la_paz_el_alto,,11,OMI
2017-03-01,la_paz_el_alto,,12,OMI
2017-04-01,la_paz_el_alto,1.1316882038213808e-05,15,OMI
2017-05-01,la_paz_el_alto,1.1851812905493982e-05,18,OMI
2017-06-01,la_paz_el_alto,1.309717770519482e-05,21,OMI
2017-07-01,la_paz_el_alto,1.7934381146228448e-05,24,OMI
2017-08-01,la_paz_el_alto,1.4045874387719233e-05,21,OMI
2017-09-01,la_paz_el_alto,1.0238114406666757e-05,15,OMI
2017-10-01,la_paz_el_alto,1.3444104015500544e-05,15,OMI
2017-11-01,la_paz_el_alto,1.1842819066227914e-05,15,OMI
2017-12-01,la_paz_el_alto,,9,OMI
2018-01-01,la_paz_el_alto,,10,OMI
2018-02-01,la_paz_el_alto,,9,OMI
2018-03-01,la_paz_el_alto,,14,OMI
2018-04-01,la_paz_el_alto,1.5278327526683836e-05,18,OMI
2018-05-01,la_paz_el_alto,1.2389753595385789e-05,22,OMI
2018-06-01,la_paz_el_alto,1.6555970869302257e-05,20,OMI
2004-10-01,santa_cruz,1.7904723653013736e-05,22,OMI
2004-11-01,santa_cruz,,11,OMI
2004-12-01,santa_cruz,8.98602428317173e-06,21,OMI
2005-01-01,santa_cruz,8.439646987310074e-06,25,OMI
2005-02-01,santa_cruz,6.216102101408464e-06,21,OMI
2005-03-01,santa_cruz,6.766566451658357e-06,22,OMI
2005-04-01,santa_cruz,8.857335056585595e-06,22,OMI
2005-05-01,santa_cruz,1.1578583075662309e-05,21,OMI
2005-06-01,santa_cruz,8.459466734752843e-06,20,OMI
2005-07-01,santa_cruz,1.221050587553201e-05,22,OMI
2005-08-01,santa_cruz,2.6095114847792318e-05,26,OMI
2005-09-01,santa_cruz,2.1841163900444947e-05,22,OMI
2005-10-01,santa_cruz,1.2555481119905965e-05,20,OMI
2005-11-01,santa_cruz,6.14427025661296e-06,21,OMI
2005-12-01,santa_cruz,1.1118904218898125e-05,25,OMI
