date,roi,no2_tropos_col_mol_m2,n_valid_days,sd,month_of_year,base_mean,base_sd_pooled,anomaly_mult,z_vs_2019,post_subsidy_break,volcanic_flag
2024-11-01,santa_cruz,1.7944417577899748e-05,426,,11,1.7760432104887264e-05,7.524910740603905e-06,0.01035929035543326,0.02445018676696202,False,False
2024-12-01,santa_cruz,1.2938664234794e-05,438,,12,1.009727394841333e-05,7.524910740603905e-06,0.2814017229697092,0.3775978724968419,False,False
2025-01-01,santa_cruz,1.4050255473669164e-05,440,,1,1.4519667306765109e-05,7.524910740603905e-06,-0.03232937939819269,-0.06238104999213216,False,False
2025-02-01,santa_cruz,1.389890666133782e-05,397,,2,1.0262766765664533e-05,7.524910740603905e-06,0.3543040564693025,0.4832136913004064,False,False
2025-03-01,santa_cruz,8.724020260312696e-06,439,,3,1.1294356943485756e-05,7.524910740603905e-06,-0.22757707198686972,-0.34157703284155894,False,False
2025-04-01,santa_cruz,9.61776125697884e-06,426,,4,1.0019583262093278e-05,7.524910740603905e-06,-0.04010366445425295,-0.053398906507453124,False,False
2025-05-01,santa_cruz,1.077470479880422e-05,438,,5,9.304588980598436e-06,7.524910740603905e-06,0.15799900686330282,0.19536654571503945,False,False
2025-06-01,santa_cruz,8.779378178959934e-06,426,,6,1.1463676921917054e-05,7.524910740603905e-06,-0.23415687316039857,-0.3567216722549049,False,False
2025-07-01,santa_cruz,1.815336987440828e-05,440,,7,1.576919324819544e-05,7.524910740603905e-06,0.15119204823529397,0.31683786139123,False,False
2025-08-01,santa_cruz,2.7267963828413827e-05,439,,8,2.554521845490459e-05,7.524910740603905e-06,0.06743905426177621,0.22893897786898923,False,False
